date,email,count_sessions,sum_beacon_value,nunique_beacon_type,count_user_stay,count_pay_attempt,count_buy_click,nunique_gender,nunique_dob,nunique_language,nunique_report_type,nunique_device,profile_submit_count,transactions_amount,conversion_status
2021-07-14,3097420,1,352,2,26,0,0,1,1,1,1,1,2,0.0,0
2021-06-18,2447087,6,60,6,24,0,0,2,3,1,1,1,63,0.0,0
2021-06-20,1230062,1,3,1,2,0,0,1,1,1,1,1,2,0.0,0
2021-07-12,1275981,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-05-29,2697239,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-05-27,2688531,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-08,2775237,1,12,2,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-18,2683180,2,2,2,2,0,0,1,2,1,1,1,29,0.0,0
2021-07-22,309838,1,10,1,4,0,0,1,1,1,1,1,54,0.0,0
2021-07-11,3066069,1,1,1,1,0,0,1,1,1,1,1,1,0.0,0
2021-05-29,2396613,1,3,1,2,0,0,1,1,1,1,1,6,0.0,0
2021-06-08,2780352,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-13,3085342,1,11,2,4,0,1,1,1,1,1,1,1,0.0,0
2021-06-30,2958398,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-07-27,3101553,1,10,1,4,0,0,1,1,1,1,1,12,0.0,0
2021-07-12,3081307,1,6,1,3,0,0,1,1,1,1,1,1,0.0,0
2021-07-05,3002651,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-05-14,2633804,1,11,2,4,0,0,1,1,1,1,1,2,0.0,0
2021-06-20,2868690,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-06-23,2892436,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-12,3074826,1,1,1,1,0,0,1,1,1,1,1,1,0.0,0
2021-06-26,2924653,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-22,1826762,2,22,4,8,0,0,1,1,1,1,1,4,0.0,0
2021-05-07,2605279,1,10,1,4,0,0,1,1,1,1,1,6,0.0,0
2021-06-13,2415907,6,33,6,16,0,0,2,2,1,1,1,15,0.0,0
2021-07-06,564882,1,11,2,4,0,1,1,1,1,1,1,2,0.0,0
2021-06-23,515651,1,10,1,4,0,0,1,1,1,1,1,25,0.0,0
2021-06-13,2820555,1,3,1,2,0,0,1,1,1,1,1,3,0.0,0
2021-07-02,2961630,1,10,1,4,0,0,1,1,1,1,1,14,0.0,0
2021-05-26,2684896,1,1,1,1,0,0,1,1,1,1,1,1,0.0,0
2021-06-04,2741592,3,173,3,25,0,0,1,3,1,1,1,4,0.0,0
2021-06-29,46512,1,10,1,4,0,0,1,1,1,1,1,9,0.0,0
2021-07-05,3003912,1,1,1,1,0,0,1,1,1,1,1,1,0.0,0
2021-06-20,2870330,1,12,3,4,0,1,1,1,1,1,1,2,0.0,0
2021-07-01,2972245,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
