date,email,count_sessions,sum_beacon_value,nunique_beacon_type,count_user_stay,count_pay_attempt,count_buy_click,nunique_gender,nunique_dob,nunique_language,nunique_report_type,nunique_device,profile_submit_count,transactions_amount,conversion_status
2021-05-03,2582154,1,4,2,2,0,1,1,1,1,1,1,3,0.0,0
2021-07-05,3010335,1,12,3,4,0,1,1,1,1,1,1,2,0.0,0
2021-06-28,613550,2,12,3,4,0,2,1,1,1,1,1,5,0.0,0
2021-06-01,1677900,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-07-02,249759,2,21,3,8,0,1,1,2,1,1,1,40,0.0,0
2021-06-11,2747757,1,1,1,1,0,0,1,1,1,1,1,3,0.0,0
2021-06-18,2852305,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-07-20,2022383,1,10,1,4,0,0,1,1,1,1,1,16,0.0,0
2021-07-01,2969064,2,7,2,4,0,0,1,1,2,1,1,2,0.0,0
2021-07-20,3158795,1,1,1,1,0,0,1,1,1,1,1,1,0.0,0
2021-07-24,3164519,1,10,1,4,0,0,1,1,1,1,1,4,0.0,0
2021-05-06,2597063,2,17,3,7,0,0,1,1,2,1,1,6,0.0,0
2021-05-20,2658578,5,50,5,20,0,0,2,4,1,1,1,5,0.0,0
2021-05-09,1412236,1,4,2,2,0,1,1,1,1,1,1,5,0.0,0
2021-07-20,3157647,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-05-08,2606925,1,10,1,4,0,0,1,1,1,1,1,4,0.0,0
2021-05-05,2593275,1,11,2,4,0,0,1,1,1,1,1,4,0.0,0
2021-07-12,3081337,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-30,2363326,1,10,1,4,0,0,1,1,1,1,1,142,999.0,0
2021-06-30,2959255,1,11,2,4,0,1,1,1,1,1,1,2,0.0,0
2021-07-22,636255,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-05-30,2703315,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-24,3196938,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-05-08,2608910,1,10,1,4,0,0,1,1,1,1,1,4,0.0,0
2021-07-05,3003425,1,11,2,4,0,1,1,1,1,1,1,1,0.0,0
2021-07-26,3213011,2,14,3,6,0,1,1,2,1,1,1,3,0.0,0
2021-07-13,3086477,4,36,4,15,0,0,1,4,1,1,1,4,0.0,0
2021-06-27,2927938,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-07-23,2950743,1,6,1,3,0,0,1,1,1,1,1,8,0.0,0
2021-06-13,2805663,1,1,1,1,0,0,1,1,1,1,1,5,0.0,0
2021-06-30,2278993,1,10,1,4,0,0,1,1,1,1,1,5,0.0,0
2021-07-30,1312342,5,30,5,14,0,0,2,1,1,1,1,19,0.0,0
2021-07-18,3139192,1,11,2,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-28,3224895,1,11,2,4,0,0,1,1,1,1,1,2,0.0,0
2021-05-29,2702991,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-30,2963277,1,6,1,3,0,0,1,1,1,1,1,4,0.0,0
2021-05-27,988513,2,13,2,6,0,0,2,1,2,1,1,68,0.0,0
2021-07-04,3001173,3,23,4,8,0,1,2,2,1,1,1,3,0.0,0
2021-06-13,2822910,1,10,1,4,0,0,1,1,1,1,1,7,0.0,0
2021-06-09,2788177,2,14,3,6,0,1,1,1,1,1,1,2,0.0,0
2021-05-20,2658835,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-06-03,1317775,1,10,1,4,0,0,1,1,1,1,1,6,0.0,0
2021-07-31,3259205,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-13,3084453,2,22,3,8,0,0,2,2,1,1,1,3,0.0,0
2021-06-08,1804883,2,21,3,8,0,1,1,1,2,1,1,5,29.0,0
2021-05-02,2576320,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-07-03,2987303,2,30,2,12,0,0,1,1,1,1,1,2,0.0,0
2021-06-24,2908225,1,11,2,4,0,1,1,1,1,1,1,4,0.0,0
2021-06-22,2883838,1,6,1,3,0,0,1,1,1,1,1,3,0.0,0
2021-06-05,1447220,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-07-17,3018254,1,10,1,4,0,0,1,1,1,1,1,9,0.0,0
2021-05-21,2663092,1,11,2,4,0,0,1,1,1,1,1,2,0.0,0
2021-06-29,2949593,2,20,2,8,0,0,1,1,1,1,1,2,0.0,0
2021-07-05,3005775,1,6,1,3,0,0,1,1,1,1,1,1,0.0,0
2021-06-27,2929737,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-23,2897773,1,11,2,4,0,0,1,1,1,1,1,1,0.0,0
2021-05-23,2673132,1,6,1,3,0,0,1,1,1,1,1,1,0.0,0
2021-05-30,2704714,1,11,2,4,0,1,1,1,1,1,1,1,0.0,0
2021-07-08,3019133,7,57,7,24,0,0,2,5,1,1,1,9,0.0,0
